county_name,fips,total_births,morbidity_births,morbidity_rate,state
"Randolph County, NC",37151,1600,24.0,0.015,NC
"Robeson County, NC",37155,1775,10.0,0.005633802816901409,NC
"Rowan County, NC",37159,1651,14.0,0.008479709267110842,NC
"Union County, NC",37179,2415,32.0,0.013250517598343685,NC
"Wake County, NC",37183,13018,120.0,0.009218005838070364,NC
"Wayne County, NC",37191,1636,0.0,0.0,NC
"Unidentified Counties, NC",37999,31354,383.0,0.012215347324105378,NC
"Cass County, ND",38017,2639,105.0,0.03978779840848806,ND
"Unidentified Counties, ND",38999,8744,144.0,0.01646843549862763,ND
"Allen County, OH",39003,1257,17.0,0.013524264120922832,OH
"Ashtabula County, OH",39007,1075,16.0,0.014883720930232559,OH
"Butler County, OH",39017,4452,107.0,0.02403414195867026,OH
"Clark County, OH",39023,1532,15.0,0.0097911227154047,OH
"Clermont County, OH",39025,2293,71.0,0.030963802878325338,OH
"Columbiana County, OH",39029,1070,17.0,0.01588785046728972,OH
"Cuyahoga County, OH",39035,14758,351.0,0.0237837105298821,OH
"Delaware County, OH",39041,2079,40.0,0.01924001924001924,OH
"Fairfield County, OH",39045,1629,35.0,0.021485573971761818,OH
"Franklin County, OH",39049,19045,476.0,0.02499343659753216,OH
"Greene County, OH",39057,1808,25.0,0.013827433628318585,OH
