2024 CAI View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Puerto Rico Only,Part C FAC,Part D MA-PD FAC,Part D PDP FAC,Overall FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1537 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",No ,1,1,N/A ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1587 ,Tribute Health Plans ,"ARKANSAS SUPERIOR SELECT, INC. ","Select Founders, LLC ",No ,5,6,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1607 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",No ,1,3,N/A ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1608 ,Aetna Medicare ,COVENTRY HEALTH AND LIFE INSURANCE COMPANY ,CVS Health Corporation ,No ,1,3,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1609 ,Aetna Medicare ,AETNA HEALTH INC. (FL) ,CVS Health Corporation ,No ,2,4,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1610 ,Aetna Better Health of Virginia ,"COVENTRY HEALTH CARE OF VIRGINIA, INC. ",CVS Health Corporation ,No ,5,7,N/A ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1619 ,Jefferson Health Plans Medicare ,PARTNERS INSURANCE COMPANY INC ,Thomas Jefferson University ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1644 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF FLORIDA, INC. ","Longevity Health Founders, LLC ",No ,5,6,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1651 ,"Medical Associates Health Plan, Inc. ","MEDICAL ASSOCIATES HEALTH PLAN, INC. ","Medical Associates Clinic, P.C. ",No ,1,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1659 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",No ,1,3,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
