Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,WCM,2219.1,2272.03,2326.86
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,Behavioral Health Treatment 0-6,2622.72,2690.2,2759.81
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,Behavioral Health Treatment 7-20,2333.11,2393.14,2455.06
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,Adult Expansion,448.05,459.91,472.23
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,Adult,362.55,372.56,382.96
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,Child,86.56,89.76,93.11
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,LTC,10007.06,10135.2,10266.62
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,LTC Dual,7663.16,7748.84,7836.47
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,Maternity,11749.55,12081.47,12424.49
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,SPD,1238.1,1266.89,1296.71
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,SPD Dual,277.98,284.47,291.2
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,WCM,2219.1,2272.03,2326.86
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,Behavioral Health Treatment 0-6,2622.72,2690.2,2759.81
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,Behavioral Health Treatment 7-20,2333.11,2393.14,2455.06
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Siskiyou,Partnership Health Plan,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,Adult Expansion,459.61,471.73,484.32
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,Adult,350.69,360.37,370.45
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,Child,96.56,100.05,103.7
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,LTC,8846.39,8960.19,9076.92
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,LTC Dual,7320.52,7403.44,7488.28
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,Maternity,11230.67,11547.95,11875.83
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,OBRA,392.08,403.06,414.47
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,SPD,1280.06,1309.82,1340.64
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,SPD Dual,310.56,317.2,324.09
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,WCM,2281.81,2340.75,2401.85
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,Behavioral Health Treatment 0-6,3122.8,3203.14,3286.03
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,Behavioral Health Treatment 7-20,2203.8,2260.5,2319
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Solano,Partnership Health Plan,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Sonoma,Partnership Health Plan,Adult Expansion,448.05,459.91,472.23
