Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Child,$86.79 ,$90.82 ,$95.09 
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Adult,$255.82 ,$265.15 ,$274.94 
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,ACA Optional Expansion,$310.45 ,$321.36 ,$332.80 
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,SPD,$634.10 ,$654.40 ,$675.59 
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,SPD/Full-Dual (Non-CCI),$132.11 ,$137.27 ,$142.71 
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Maternity,"$7,742.95 ","$7,980.94 ","$8,227.97 "
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Behavioral Health Treatment 0-6,"$3,073.93 ","$3,176.41 ","$3,282.97 "
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Behavioral Health Treatment 7-20,"$2,154.45 ","$2,226.27 ","$2,300.96 "
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Child,$80.88 ,$84.71 ,$88.77 
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Adult,$241.63 ,$250.50 ,$259.81 
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,ACA Optional Expansion,$295.81 ,$306.24 ,$317.17 
