Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Maternity,"8,401.59","8,659.04","8,926.22"
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,SPD,910.79,934.46,959.17
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,SPD Dual,156.96,162.99,169.34
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,Adult,223.56,230.23,237.24
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,Adult Expansion,275.28,283.01,291.11
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,Behavioral Health Treatment 0-6,"3,169.97","3,259.10","3,351.45"
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,Behavioral Health Treatment 7-20,"2,379.78","2,446.69","2,516.02"
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,Child,67,69.79,72.75
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,Maternity,"7,236.65","7,458.45","7,688.63"
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,SPD,832.8,853.81,875.73
1/21-12/21,2021,Two-Plan,San Joaquin,Health Net of California,SPD Dual,141.96,147.1,152.52
1/21-12/21,2021,Two-Plan,San Joaquin,Health Plan of San Joaquin,Adult,278.42,286.52,295.01
1/21-12/21,2021,Two-Plan,San Joaquin,Health Plan of San Joaquin,Adult Expansion,325.93,334.85,344.21
1/21-12/21,2021,Two-Plan,San Joaquin,Health Plan of San Joaquin,Behavioral Health Treatment 0-6,"3,030.58","3,115.79","3,204.08"
1/21-12/21,2021,Two-Plan,San Joaquin,Health Plan of San Joaquin,Behavioral Health Treatment 7-20,"1,969.87","2,025.26","2,082.64"
