2025 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6870 ,Demo ,"SUPERIOR HEALTHPLAN, INC. ",Superior HealthPlan ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6874 ,Local CCP ,"ASPIRUS HEALTH PLAN, INC. ",Aspirus Health Plan ,"Aspirus, Inc. ",3,3,4,5,Not enough data available ,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6876 ,Local CCP ,"ZING HEALTH OF MICHIGAN, INC. ",Zing Health ,"Zing Health Consolidator, Inc ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,5,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6891 ,Local CCP ,"AMERICAN HEALTH PLAN OF TX, INC. ",American Health Advantage of Texas ,Mitchell Family Office ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6898 ,Local CCP ,"VERMONT BLUE ADVANTAGE, INC. ",Vermont Blue Advantage ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,4,3,3,5,3,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6910 ,Local CCP ,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC. ",Saint Alphonsus Health Plan ,Trinity Health Corporation ,3,4,4,5,Not enough data available ,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6959 ,Local CCP ,"ISNP VENTURES, LLC ",KeyCare Advantage ,"ISNP Holdings, LLC ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6988 ,Local CCP ,"CENTERS PLAN FOR HEALTHY LIVING, LLC ",Centers Plan for Healthy Living ,"Centers Plan for Healthy Living, LLC ",4,5,4,3,3,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7006 ,Local CCP ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,ATRIO Health Plans ,4,2,3,4,Not enough data available ,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7020 ,Local CCP ,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC. ",Cigna Healthcare ,The Cigna Group ,3,3,5,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7028 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF SOUTH CAROLINA ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,5,4,Plan too new to be measured ,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7063 ,Local CCP ,"BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC. ",Blue Cross and Blue Shield of Kansas ,Blue Cross Blue Shield of Kansas ,4,3,4,4,3,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7074 ,Local CCP ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ",Alignment Health Plan ,"Alignment Healthcare USA, LLC ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7093 ,Local CCP ,COMMUNITY INSURANCE COMPANY ,Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",3,3,3,3,5,5,4,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7115 ,Local CCP ,MEMORIAL HERMANN HEALTH PLAN ,Memorial Hermann Health Plan ,Memorial Hermann Health System ,4,3,4,4,3,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7123 ,Local CCP ,"UPMC HEALTH COVERAGE, INC. ",UPMC for Life Complete Care ,UPMC Health System ,3,2,4,Not enough data available ,3,3,Not enough data available ,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7147 ,Local CCP ,DEVOTED HEALTH PLAN OF COLORADO INC ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,4,3,4,Plan too new to be measured ,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7149 ,Local CCP ,AETNA HEALTH INC. (PA) ,Aetna Medicare ,CVS Health Corporation ,3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7151 ,Local CCP ,"DEVOTED HEALTH PLAN OF ILLINOIS, INC. ",Devoted Health ,"Devoted Health, Inc. ",4,4,3,4,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7163 ,Local CCP ,Primewell Health Services of Mississippi Inc. ,Primewell Health Services ,Louisiana Health Service & Indemnity Company ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,2,Not enough data available ,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7169 ,Local CCP ,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, INC. ",Wellcare ,Centene Corporation ,1,2,3,3,Not enough data available ,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7172 ,Demo ,AETNA BETTER HEALTH INC. (OH) ,"Aetna Better Health of Ohio, MyCare Ohio ",CVS Health Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7175 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC. ",Wellcare ,Centene Corporation ,2,3,Not enough data available ,3,Not enough data available ,Not enough data available ,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7199 ,Local CCP ,DEVOTED HEALTH  PLAN OF OREGON ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,3,3,Plan too new to be measured ,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7220 ,Local CCP ,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC. ",Indiana University Health Plans ,Indiana University Health ,4,3,4,4,4,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7239 ,Local CCP ,PROMINENCE HEALTHFIRST OF FLORIDA INC ,Prominence Health Plan ,"Universal Health Services, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7284 ,Local CCP ,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC. ",Humana ,Humana Inc. ,4,4,3,2,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7301 ,Local CCP ,"COVENTRY HEALTH CARE OF ILLINOIS, INC. ",Aetna Medicare ,CVS Health Corporation ,3,3,4,4,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7323 ,Local CCP ,WELLCARE NATIONAL HEALTH INSURANCE COMPANY ,Wellcare ,Centene Corporation ,3,2,4,3,Not enough data available ,5,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7326 ,Local CCP ,"WELLCARE OF SOUTH CAROLINA, INC. ",Wellcare ,Centene Corporation ,3,3,4,3,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7330 ,Local CCP ,"ZING HEALTH, INC. ",Zing Health ,"Zing Health Consolidator, Inc ",2,2,1,3,Not enough data available ,Not enough data available ,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7355 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF MISSISSIPPI ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7379 ,Local CCP ,"CAREFIRST ADVANTAGE PPO, INC. ",CareFirst BlueCross BlueShield Medicare Advantage ,"CareFirst, Inc. ",4,3,4,5,Not enough data available ,Not enough data available ,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7389 ,Local CCP ,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,Cigna Healthcare ,The Cigna Group ,2,Not enough data available ,Not enough data available ,2,4,4,2,Not enough data available ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7397 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF ARKANSAS INC ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7419 ,Demo ,"TUFTS HEALTH PUBLIC PLANS, INC. ",Tufts Health Plan ,"Point32Health, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7464 ,Local CCP ,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",3,3,4,3,4,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7471 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF INDIANA ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7511 ,Local CCP ,"GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC. ",Great Plains Medicare Advantage ,Sanford Health ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7512 ,Local CCP ,CENTENE VENTURE COMPANY MICHIGAN ,Ascension Complete ,Centene Corporation ,Not enough data available ,2,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7518 ,Local CCP ,"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC ",Wellcare ,Centene Corporation ,1,2,4,3,Not enough data available ,5,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7522 ,Local CCP ,"MMM HEALTHCARE, LLC ",Medicare y Mucho Mas ,"Elevance Health, Inc. ",2,3,4,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7524 ,Local CCP ,EXCELLUS HEALTH PLAN COMMUNITY CARE LLC ,Excellus Health Plan Community Care LLC ,"Lifetime Healthcare, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7557 ,Local CCP ,"LONGEVITY HEALTH PLAN OF MICHIGAN, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,2,4,5,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7559 ,Local CCP ,"Molina Healthcare of Virginia, LLC ",Molina Healthcare of Virginia ,"Molina Healthcare, Inc. ",2,2,3,3,Not enough data available ,5,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7598 ,Local CCP ,GROUP HEALTH COOPERATIVE OF EAU CLAIRE ,Group Health Cooperative of Eau Claire ,Group Health Cooperative of Eau Claire ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,2,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7605 ,Local CCP ,DEVOTED HEALTH PLAN OF TENNESSEE INC ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,4,3,Plan too new to be measured ,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7607 ,Local CCP ,"CLEVER CARE OF GOLDEN STATE, INC. ",Clever Care Health Plan ,"Clever Care Health Plan, Inc. ",4,4,Not enough data available ,3,3,3,2,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7617 ,Local CCP ,EMPHESYS INSURANCE COMPANY ,Humana ,Humana Inc. ,4,4,5,5,4,Not enough data available ,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7646 ,Local CCP ,UNIVERSITY OF MICHIGAN HEALTH MEDICARE ,University of Michigan Health Plan ,University of Michigan Health ,4,4,5,5,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7670 ,Local CCP ,"CENTRAL MASS HEALTH, LLC ",Mass Advantage ,Central Mass Health Holding LLC ,3,3,4,5,Not enough data available ,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7678 ,Local CCP ,"MOLINA HEALTHCARE OF TEXAS, INC. ","Molina Healthcare of Texas, Inc. ","Molina Healthcare, Inc. ",3,2,3,2,5,5,2,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7680 ,Local CCP ,PROMINENCE HEALTHFIRST OF TEXAS ,Prominence Health Plan ,"Universal Health Services, Inc. ",4,4,4,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7710 ,Local CCP ,"HIGHMARK BCBSD, INC. ",Highmark Blue Cross Blue Shield ,Highmark Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7778 ,Local CCP ,"UNITEDHEALTHCARE OF ILLINOIS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,5,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7779 ,Local CCP ,"AMERICAN HEALTH PLAN, INC. ",American Health Advantage of Tennessee ,Mitchell Family Office ,Not enough data available ,5,Not enough data available ,Not enough data available ,Not enough data available ,3,4,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7787 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna Healthcare ,The Cigna Group ,4,3,3,4,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7813 ,Local CCP ,"ICIRCLE SERVICES OF THE FINGER LAKES, INC. ","iCircle Services of the Finger Lakes, Inc ","CDS Monarch, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7833 ,Demo ,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7844 ,Demo ,"MOLINA HEALTHCARE OF MICHIGAN, INC. ",Molina Healthcare of Michigan ,"Molina Healthcare, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7849 ,Local CCP ,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,Cigna Healthcare ,The Cigna Group ,3,3,3,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7917 ,Local CCP ,"BLUECROSS BLUESHIELD OF TENNESSEE, INC. ",BlueCross BlueShield of Tennessee ,BlueCross BlueShield of Tennessee ,3,4,5,5,4,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7925 ,Local CCP ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Wellcare by Allwell ,Centene Corporation ,3,3,Not enough data available ,4,Not enough data available ,5,4,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7980 ,Local CCP ,"BOSTON MEDICAL CENTER HEALTH PLAN, INC. ",WellSense Health Plan ,"BMC Health System, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7993 ,Local CCP ,"DEVOTED HEALTH PLAN OF TEXAS, INC. ",Devoted Health ,"Devoted Health, Inc. ",5,5,4,4,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8003 ,Local CCP ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,Blue Cross Blue Shield of South Carolina ,BlueCross BlueShield of South Carolina (BCBSSC) ,3,3,4,5,4,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8010 ,Local CCP ,CLOVER HMO OF NEW JERSEY INC. ,Clover Health ,"Clover Health Holdings, Inc. ",4,5,2,4,4,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8014 ,Local CCP ,CLEAR SPRING HEALTH INSURANCE COMPANY ,Clear Spring Health ,Group 1001 ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8019 ,Local CCP ,MEDICA CENTRAL HEALTH PLAN ,Medica ,Medica Holding Company ,4,4,Not enough data available ,Not enough data available ,3,3,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8026 ,Demo ,AETNA BETTER HEALTH OF MICHIGAN INC. ,Aetna Better Health Premier Plan ,CVS Health Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8046 ,Demo ,"MOLINA HEALTHCARE OF ILLINOIS, INC. ",Molina Healthcare of Illinois ,"Molina Healthcare, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8064 ,Local CCP ,FIRSTCAROLINACARE INSURANCE COMPANY ,FirstMedicare Direct ,The Carle Foundation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8067 ,Local CCP ,"PROVIDER PARTNERS HEALTH PLAN, INC. ",Provider Partners Health Plans ,"Rifkin Managed Care Holding, LLC ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8070 ,Local CCP ,UCARE MINNESOTA ,UCare ,UCare Minnesota ,4,3,4,5,Plan too new to be measured ,4,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8093 ,Local CCP ,"GEORGIA ASSURANCE, INC. ",Georgia Health Advantage ,Mitchell Family Office ,Not enough data available ,5,Not enough data available ,5,Not enough data available ,3,4,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8095 ,Local CCP ,"WELLMARK ADVANTAGE HEALTH PLAN, INC. ",Wellmark Advantage Health Plan ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8121 ,Local CCP ,CENTENE VENTURE COMPANY TENNESSEE ,Ascension Complete ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8133 ,Local CCP ,GHS INSURANCE COMPANY ,Blue Cross and Blue Shield of Texas ,Health Care Service Corporation ,3,2,3,4,4,5,4,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8142 ,Local CCP ,SCOTT AND WHITE HEALTH PLAN ,Baylor Scott & White Health Plan ,Baylor Scott & White Holdings ,4,3,5,4,4,3,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8145 ,PFFS ,HUMANA INSURANCE COMPANY ,Humana ,Humana Inc. ,3,3,5,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8166 ,Local CCP ,HIGHMARK BCBSD INC. ,Highmark Blue Cross Blue Shield ,Highmark Health ,4,4,3,4,5,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8173 ,Local CCP ,"DEVOTED HEALTH PLAN OF ARIZONA, INC. ",Devoted Health ,"Devoted Health, Inc. ",4,5,3,4,5,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8176 ,Local CCP ,"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC ",Molina Healthcare of South Carolina ,"Molina Healthcare, Inc. ",2,2,3,2,5,5,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8181 ,Local CCP ,"SAPPHIRE EDGE, INC. ",Blue Cross and Blue Shield of Nebraska ,Blue Cross Blue Shield of Nebraska ,4,3,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8189 ,Local CCP ,MANAGED HEALTH SERVICES INSURANCE CORP. ,Wellcare by Allwell ,Centene Corporation ,3,3,4,3,5,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8197 ,Demo ,"MOLINA HEALTHCARE OF TEXAS, INC. ",Molina Healthcare of Texas ,"Molina Healthcare, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8211 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",3,2,4,4,4,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8213 ,Demo ,"SELECT HEALTH OF SOUTH CAROLINA, INC. ",FIRST CHOICE VIP CARE PLUS ,"Independence Health Group, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8298 ,Local CCP ,"HORIZON HEALTHCARE OF NEW JERSEY, INC. ",Horizon Blue Cross Blue Shield of New Jersey ,"Horizon Mutual Holdings, Inc ",3,3,3,4,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8320 ,Local CCP ,"Devoted of Illinois, Inc. ",Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
